Company,Symbol,Market,Event_type,Date,Quarter,EPS,Forecast,# Estimates,% Surprise,Footer Date
"American Airlines Group, Inc.",AAL,NASDAQ -GS,Exceeded,07-28-2017,Jun 2017,1.92 ,1.87 ,9 ,2.67 ,07/28/2017 06:19
Chevron Corporation,CVX,NYSE,Exceeded,07-28-2017,Jun 2017,0.91 ,0.89 ,8 ,2.25 ,07/28/2017 06:19
"Lithia Motors, Inc.",LAD,NYSE,Exceeded,07-28-2017,Jun 2017,2.28 ,2.23 ,4 ,2.24 ,07/28/2017 06:19
AbbVie Inc.,ABBV,NYSE,Exceeded,07-28-2017,Jun 2017,1.42 ,1.4 ,10 ,1.43 ,07/28/2017 06:19
Hill-Rom Holdings Inc,HRC,NYSE,Exceeded,07-28-2017,Jun 2017,0.91 ,0.9 ,6 ,1.11 ,07/28/2017 06:19
"Ventas, Inc.",VTR,NYSE,Exceeded,07-28-2017,Jun 2017,1.06 ,1.05 ,8 ,0.95 ,07/28/2017 06:19
Welltower Inc.,HCN,NYSE,Exceeded,07-28-2017,Jun 2017,1.06 ,1.05 ,10 ,0.95 ,07/28/2017 06:19
Colfax Corporation,CFX,NYSE,Met,07-28-2017,Jun 2017,0.43 ,0.43 ,9 ,0 ,07/28/2017 06:19
Weatherford International plc,WFT,NYSE,Met,07-28-2017,Jun 2017,-0.28 ,-0.28 ,11 ,0 ,07/28/2017 06:19
Grupo Financiero Santander Mexico S.A. B. de C.V.,BSMX,NYSE,Met,07-28-2017,Jun 2017,0.18 ,0.18 ,2 ,0 ,07/28/2017 06:19
"Franklin Resources, Inc.",BEN,NYSE,Met,07-28-2017,Jun 2017,0.73 ,0.73 ,6 ,0 ,07/28/2017 06:19
"Atlantic Capital Bancshares, Inc.",ACBI,NASDAQ -GS,Met,07-28-2017,Jun 2017,0.17 ,0.17 ,4 ,0 ,07/28/2017 06:19
Norbord Inc.,OSB,NYSE,Failed,07-28-2017,Jun 2017,1.1 ,1.11 ,1 ,-0.9 ,07/28/2017 06:19
"Mednax, Inc",MD,NYSE,Failed,07-28-2017,Jun 2017,0.8 ,0.81 ,8 ,-1.23 ,07/28/2017 06:19
The Goodyear Tire & Rubber Company,GT,NASDAQ -GS,Failed,07-28-2017,Jun 2017,0.7 ,0.72 ,5 ,-2.78 ,07/28/2017 06:19
"Virtus Investment Partners, Inc.",VRTS,NASDAQ -GS,Failed,07-28-2017,Jun 2017,1.61 ,1.66 ,3 ,-3.01 ,07/28/2017 06:19
Stonegate Bank,SGBK,NASDAQ -GS,Failed,07-28-2017,Jun 2017,0.59 ,0.61 ,2 ,-3.28 ,07/28/2017 06:19
Valero Energy Partners LP,VLP,NYSE,Failed,07-28-2017,Jun 2017,0.69 ,0.72 ,8 ,-4.17 ,07/28/2017 06:19
Exxon Mobil Corporation,XOM,NYSE,Failed,07-28-2017,Jun 2017,0.78 ,0.83 ,9 ,-6.02 ,07/28/2017 06:19
"Southside Bancshares, Inc.",SBSI,NASDAQ -GS,Failed,07-28-2017,Jun 2017,0.49 ,0.53 ,1 ,-7.55 ,07/28/2017 06:19
Barclays PLC,BCS,NYSE,Failed,07-28-2017,Jun 2017,0.12 ,0.13 ,1 ,-7.69 ,07/28/2017 06:19
"Civista Bancshares, Inc. ",CIVB,NASDAQ -CM,Failed,07-28-2017,Jun 2017,0.29 ,0.33 ,2 ,-12.12 ,07/28/2017 06:19
Yandex N.V.,YNDX,NASDAQ -GS,Failed,07-28-2017,Jun 2017,0.2 ,0.23 ,2 ,-13.04 ,07/28/2017 06:19
"CIRCOR International, Inc.",CIR,NYSE,Failed,07-28-2017,Jun 2017,0.39 ,0.46 ,4 ,-15.22 ,07/28/2017 06:19
"Sonic Automotive, Inc.",SAH,NYSE,Failed,07-28-2017,Jun 2017,0.4 ,0.48 ,5 ,-16.67 ,07/28/2017 06:19
Portland General Electric Company,POR,NYSE,Failed,07-28-2017,Jun 2017,0.36 ,0.44 ,4 ,-18.18 ,07/28/2017 06:19
CMS Energy Corporation,CMS,NYSE,Failed,07-28-2017,Jun 2017,0.33 ,0.41 ,4 ,-19.51 ,07/28/2017 06:19
Capital Product Partners L.P.,CPLP,NASDAQ -GS,Failed,07-28-2017,Jun 2017,0.06 ,0.08 ,4 ,-25 ,07/28/2017 06:19
"Magellan Health, Inc.",MGLN,NASDAQ -GS,Failed,07-28-2017,Jun 2017,0.46 ,0.94 ,2 ,-51.06 ,07/28/2017 06:19
Nustar Energy L.P.,NS,NYSE,Failed,07-28-2017,Jun 2017,0.05 ,0.33 ,6 ,-84.85 ,07/28/2017 06:19
Imperial Oil Limited,IMO,AMEX,Failed,07-28-2017,Jun 2017,-0.07 ,0.23 ,4 ,-130.43 ,07/28/2017 06:19
"Baker Hughes, a GE company",BHGE,NYSE,Failed,07-28-2017,Jun 2017,-0.11 ,0.16 ,2 ,-168.75 ,07/28/2017 06:19
Calpine Corporation,CPN,NYSE,Failed,07-28-2017,Jun 2017,-0.61 ,-0.01 ,3 ,-6000 ,07/28/2017 06:19
